exercise_id,example_id,example_name,example
1,1,Load data from a file,"Given a file example.txt:
<div class=""grey-highlight"">
1;2;3<br/>
4;5;6<br/>
</div>
<div class=""green-highlight"">
<span class=""alias-settings"">A</span> = <span class=""keyword-highlighting"">LOAD</span> 'example.txt' <span class=""keyword-highlighting""> USING</span>  <span class=""keyword-highlighting"">PigStorage</span>(';');
</div>
The command above loads the data from the file example.txt and assigns it to <span class=""alias-settings"">alias A</span>. The data is stored in the default format as shown below.<br/>
<div class=""grey-highlight"">
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(1,2,3)<br/>
(4,5,6)<br/>
</div>
<span class=""alert-settings"">NOTE:</span> <span class=""keyword-highlighting"">DUMP</span> is a debugging tool which allows us to see the contents stored in the alias (in this case <span class=""alias-settings"">A</span>). <br /><br/>
<span class=""keyword-highlighting"">PigStorage</span> is a default loader that can read files (in this case 'example.txt') containing character-delimited (in this case ';') tuple records. 
"
1,2,Load data with specified schema,"<div class=""example-header-setting"">Example 2: LOAD data with a specified schema </div>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">LOAD</span> 'example.txt' <span class=""keyword-highlighting"">AS</span> (a1:int, a2:int, a3:int);<br/>
<span class=""keyword-highlighting"">DESCRIBE</span> <span class=""alias-settings"">B</span>;<br/>
b: {a1:int, a2:int, a3:int} <br/>
<span class=""alert-settings"">NOTICE:</span> <span class=""keyword-highlighting"">DESCRIBE</span> is a debugging tool which allows us to view the schema.The loader loads data as bytearray datatype by default if a schema (in this case a1:int,a2:int, a3:int) is not specified.<br/><br/>
In the examples above, we came across 2 relations referred to by their aliases (<span class=""alias-settings"">A</span> and <span class=""alias-settings"">B</span>). Relations in Pig Latin are called bags. A bag is a collection of tuples [(1,2,3) and (4,5,6) in example1]. A tuple is an ordered set of fields [a1, a2, a3 in example2].<br/><br/>"
1,3,Store Operator,"<div class=""example-header-setting"">Example 3: <span class=""keyword-highlighting"">STORE</span> operator </div>
Given <span class=""alias-settings"">A</span>:<br/> 
(1,2,3)<br/>
(4,5,6)<br/>
<span class=""keyword-highlighting"">STORE</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">INTO</span> 'output' <span class=""keyword-highlighting"">USING</span> <span class=""keyword-highlighting"">PigStorage</span>('#');<br/>
<span class=""keyword-highlighting"">CAT</span> output; (Displaying the contents of the file)<br/>
1#2#3<br/>
4#5#6<br/>"
2,4,Projection,"<div class=""example-header-setting"">Example 1: Projection</div>
Given <span class=""alias-settings"">A</span>: {a1, a2, a3}<br/>
(1,2,3)<br/>
(4,5,6)<br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> a1, a2;<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(1,2)<br/>
(4,5)<br/><br/>"
2,5,Define schema and use operator,"<div class=""example-header-setting"">Example 2: Define schema and use operators</div>
<span class=""alias-settings"">C</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> a1+a2 <span class=""keyword-highlighting"">AS</span> sum:int;<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">C</span>;<br/>
(3)<br/>
(9)<br/>"
3,6,Filter rows using single comparison operator,"<div class=""example-header-setting"">Example 1: FILTER rows using single comparison operator</div>
Given <span class=""alias-settings"">A</span>: {a1, a2, a3}<br/>
(1,2,3)<br/>
(4,7,0)<br/>
(7,8,9)<br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FILTER</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">BY</span> (a1 > 2)<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(4,7,0)<br/>
(7,8,9)<br/><br/>"
3,7,Filter rows using multiple comparison operators,"<div class=""example-header-setting"">Example 2: FILTER rows using multiple comparison operators</div>
Given <span class=""alias-settings"">A</span>: {a1, a2, a3}<br/>
(1,2,3)<br/>
(4,7,0)<br/>
(,5,9)<br/>
<span class=""alias-settings"">B</span> = <span class=""keyword-highlighting"">FILTER</span><br/>
<span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">BY</span> (a1 + a3 == 4) <span class=""keyword-highlighting"">AND</span> (<span class=""keyword-highlighting"">NOT</span>( a3 > a1)) <span class=""keyword-highlighting"">OR</span> (a1 IS null);<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">B</span>;<br/>
(4,7,0)<br/>
(,5,9)<br/>"
4,8,Dereference - Tuple,"<div class=""example-header-setting"">Example 1: Dereference - Tuple</div> 
<span class=""alias-settings"">A</span> = <span class=""keyword-highlighting"">LOAD</span> 'data'  <span class=""keyword-highlighting"">USING PigStorage</span>(';') <span class=""keyword-highlighting"">AS</span> (f1:int, f2:tuple(t1:int,t2:int,t3:int));<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">A</span>;<br/>
(1,(1,2,3))<br/>
(2,(4,5,6))<br/>
(3,(7,8,9))<br/>
(4,(1,4,7))<br/>
(5,(2,5,8))<br/><br/>
<span class=""alias-settings"">X</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">A</span> <span class=""keyword-highlighting"">GENERATE</span> f2.t1,f2.t3;<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">X</span>;<br/>
(1,3)<br/>
(4,6)<br/>
(7,9)<br/>
(1,7)<br/>
(2,8)<br/>"
5,9,Dereference - Bag,"<div class=""example-header-setting"">Example 1: Dereference - Bag</div>
Given a relation containing the name of a director, movie directed by them and the movie's average rating in the form {director,movie,movieRating}. Find the average rating for each director. The output should be in the form {director,rating}<br/>
<span class=""alias-settings"">input</span> = <span class=""keyword-highlighting"">LOAD</span> 'data' <span class=""keyword-highlighting"">AS</span> (director:chararray, movie:chararray, movieRating:long};<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> input;<br/>
(Francis Lawrence, The Hunger Games- Catching Fire, 8.0)<br/>
(Christopher Nolan, The Dark Knight Rises, 8.6)<br/>
(Francis Lawrence, I am Legend, 7.2)<br/>
(Christopher Nolan, Inception, 8.8)<br/>
(Christopher Nolan, The Dark Knight, 9.0)<br/>
(Pierre Coffin, Despicable Me, 7.7)<br/><br/>
<span class=""alias-settings"">directorData</span> = <span class=""keyword-highlighting"">GROUP</span> input <span class=""keyword-highlighting"">BY</span> director;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directorData;</span><br/>
(Francis Lawrence, {(Francis Lawrence, The Hunger Games- Catching Fire, 8.0), (Francis Lawrence, I am Legend, 7.2)})<br/>
(Christopher Nolan, {(Christopher Nolan, The Dark Knight, 9.0), (Christopher Nolan, Inception, 8.8), (Christopher Nolan, The Dark Knight Rises, 8.6)})<br/>
(Pierre Coffin, {(Pierre Coffin, Despicable Me, 7.7)})<br/><br/>
<span class=""alias-settings"">directorRating</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">directorData</span> <span class=""keyword-highlighting"">GENERATE</span> input.director, <span class=""keyword-highlighting"">AVG</span>(input.movieRating) <span class=""keyword-highlighting"">AS</span> rating;<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">directorRating</span>;<br/>
(Francis Lawrence, 7.6)<br/>
(Christopher Nolan, 8.8)<br/>
(Pierre Coffin, 7.7)<br/><br/>
<span class=""alert-settings"">NOTE</span>: <span class=""keyword-highlighting"">AVG</span> is an inbuilt function to calculate the average of a given field across all tuples.(in this case the average of input.movieRatings is caluclated across all movies by a particular director)"
6,10,Dereference - Tuple/Bag,"<div class=""example-header-setting"">Example 1: Given a table ratings with ratings from critics for a movie as shown below:</div>
<span class=""keyword-highlighting"">DESCRIBE</span> <span class=""alias-settings"">ratings;</span><br/>
{criticID: chararray, movie: chararray, rating: long}<br/><br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">ratings</span>;<br/>
(critic1, The Shawshank Redemption, 9.0)<br/>
(critic3, The Dark Knight, 8.8)<br/>
(critic3, The Shawshank Redemption, 9.5)<br/>
(critic1, Schindler's List, 9.0)<br/>
(critic1, The Dark Knight, 8.8)<br/>
(critic2, The Shawshank Redemption, 9.0)<br/>
(critic2, The Dark Knight, 8.8)<br/><br/>
If we want to get a list of critics who have identical ratings for a movie:<br/>
<span class=""alias-settings"">sameRatings</span> = <span class=""keyword-highlighting"">GROUP</span> <span class=""alias-settings"">ratings</span> <span class=""keyword-highlighting"">BY</span> (movie,rating);<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">sameRatings</span>;<br/><br/>
((The Shawshank Redemption, 9.0), {(critic1, The Shawshank Redemption, 9.0), (critic2, The Shawshank Redemption, 9.0)})<br/>
((The Dark Knight, 8.8), {(critic3, The Dark Knight, 8.8), (critic1, The Dark Knight, 8.8), (critic2, The Dark Knight, 8.8)})<br/>
((Schindler's List, 9.0), {(critic1, Schindler's List, 9.0)})<br/><br/>
<span class=""alert-settings"">NOTE</span>: We will be revisiting <span class=""alias-settings"">GROUP</span> operator in detail in a later chapter.<br/><br/>
If we were to describe the schema of <span class=""alias-settings"">sameRatings</span> relation we would get:<br/>
group:tuple({movie: chararray, rating: chararray})  ratings: bag({criticID: chararray, movie: chararray, rating: long})<br/><br/>
Now, we will use dereferencing to access the movie name and critics.<br/>
<span class=""alias-settings"">movies</span> = <span class=""keyword-highlighting"">FOREACH</span> <span class=""alias-settings"">sameRatings</span> <span class=""keyword-highlighting"">GENERATE</span> group.movie, ratings.criticId;<br/>
<span class=""keyword-highlighting"">DUMP</span> <span class=""alias-settings"">movies</span>;<br/>
(The Shawshank Redemption,{(critic1, critic2)})<br/>
(The Shawshank Redemption,{(critic3)})<br/>
(The Dark Knight,{(critic3, critic1, critic2)})<br/>
(Schindler's List,{(critic1)})<br/><br/>
Hence, dereferencing is used to project a field movie from a tuple(group) and a field critic from a bag(ratings)."
