subtopic_id,exercise_id,exercise_name,explanation,problem,solution,load_statement,store_statement,pass_to_backend
1,1,Load and Store,"The purpose of pigscript is to generate map reduce jobs which process data and store it. <br/>Where does this data come from and where does it go?<br/><span class=""keyword-highlighting""> LOAD</span> and <span class=""keyword-highlighting"">STORE</span> operators help us define where data is pulled from and where the data is stored. Pig Latin statements work with relations. Hence, the <span class=""keyword-highlighting"">LOAD</span> statements generate relations consisting of different data types which can be manipulated as needed. <span class=""keyword-highlighting"">STORE</span> writes the relations onto the file system in the desired format. A relation in Pig Latin is a bag, where a bag is a collection of tuples and a tuple is an ordered set of fields. (Refer to examples)",Load a given text file(studentInfo.txt) containing studentID and studentName. Store the resulting dataset into a file named myFirstPigScript.txt. The solution for this exercise has already been displayed in the text area.  Please press the Run button at the bottom right to Run your first Pig Script!,"studentInfo = LOAD 'studentInfo.txt' USING PigStorage(',') AS (studentId:chararray, studentName:chararray);
STORE studentInfo INTO 'myFirstPigScript.txt' USING PigStorage('#');","studentInfo = LOAD 'studentInfo.txt' USING PigStorage(',') AS (studentId:chararray, studentName:chararray); STORE studentInfo INTO 'myFirstPigScript.txt' USING PigStorage('#');",,0
2,2,ForEach...Generate,"<span class=""keyword-highlighting"">FOREACH.. GENERATE</span> operator works on columns of data to generate data transformations.","Given a relation with tuples containing student ID and exactly 3 different marks in the form (S1,90,93,88), for each student generate a record containing their ID and the sum of all their marks. ","Result = FOREACH inputData GENERATE studentId, (mark1 + mark2 + mark3) as total;","inputData = LOAD '$input' USING PigStorage(',') AS (studentId:chararray, mark1:int, mark2:int, mark3:int);",,1
3,3,Filter,"<span class=""keyword-highlighting"">FILTER</span> operator selects tuples from a relation based on the conditions specified. <span class=""keyword-highlighting"">FILTER</span> operator works on rows of data whereas <span class=""keyword-highlighting"">FOREACH..GENERATE</span> (previous lesson) works on columns of data.","Given a relation with tuples containing student ID and exactly 3 different marks in the form {S1,90,93,88}. Generate a list of studentIDs and their average for all students with average between 50 and 70 (inclusive). Ensure that the list only contains students with a non-null studentID.","Average = FOREACH inputData GENERATE studentId, (mark1 + mark2 + mark3)/3 as average; Result = FILTER Average BY (average >= 50) AND (average <= 70) AND (studentId IS NOT null);","inputData = LOAD '$input' USING PigStorage(',') AS (studentId:chararray, mark1:int, mark2:int, mark3:int);",,1
4,4,Dereference - Tuple,"<span class=""keyword-highlighting"">DEREFERENCE</span> operator is used to retreive the value of a specific field by its position or name in a tuple.","Given a relation with tuples containing student ID, semester code and 3 different marks in the form {S1,Fall-2013,(90,93,88)}, get a list of student ID, semester code and the sum of marks.","Result = FOREACH A GENERATE studentId,semester,(mark.mark1 + mark.mark2 + mark.mark3) as total;","A = LOAD '$input' USING PigStorage(';') AS (studentId:chararray, semester:chararray, mark:tuple(mark1:int, mark2:int, mark3:int));",,1
4,5,Dereference - Bag,"<span class=""keyword-highlighting"">DEREFERENCE</span> operator is used on bags to project certain fields of each tuple within the bag. <span class=""alert-settings"">Note</span>: The <span class=""keyword-highlighting"">GROUP</span> operator will be used in this chapter to make the explanation for <span class=""keyword-highlighting"">DEREFERENCE</span> clearer. We will be revisiting <span class=""keyword-highlighting"">GROUP</span> operator in a later chapter.","Given an input dataset with each row containing a student ID and their corresponding list of courses taken and marks obtained, calculate each student's average mark","Result = FOREACH A GENERATE  studentId , AVG(courseAndMarkInfo.mark);","A = LOAD '$input' USING PigStorage(';') AS (studentId: chararray, courseAndMarkInfo:bag{tuple(courseId: chararray, mark: int)});",,1
4,6,Dereference - Tuple/Bag,"<span class=""keyword-highlighting"">DEREFERENCE</span> operator is used on bags to project certain fields of each tuple within the bag. <span class=""alert-settings"">Note</span>: The <span class=""keyword-highlighting"">GROUP</span> operator will be used in this chapter to make the explanation for <span class=""keyword-highlighting"">DEREFERENCE</span> clearer. We will be revisiting <span class=""keyword-highlighting"">GROUP</span> operator in a later chapter.","Given a relation with tuples containing studentID, semester code and totalMark in that semester. Generate a list of studentIDs with the same totalMark over the same semester"," sameMarks = GROUP inputData BY (totalMark,semester); DUMP sameMarks; Result = FOREACH sameMarks GENERATE group.semester, group.totalMark, inputData.studentId;","inputData = LOAD '$input' USING PigStorage(',') AS (studentId:chararray, semester:chararray, totalMark:int);",,1
5,7,Flatten - Tuple,"For tuples, <span class=""keyword-highlighting"">FLATTEN</span> substitutes the tuple  with the fields within it.","Given a relation with tuples containing studentID(field), semester(field) and a tuple mark with marks for 3 different courses as mark1,mark2,mark3. Generate a relation with the 3 marks as separate fields.","Result = FOREACH A GENERATE studentId, semester, FLATTEN(mark);","A = LOAD '$input' USING PigStorage(';') AS (studentId:chararray, semester:chararray,mark:tuple(mark1:int, mark2:int, mark3:int));",,1
5,8,Flatten - Bag,"For bags, <span class=""keyword-highlighting"">FLATTEN</span> substitutes tuples in place of the bag. There are also cases when <span class=""keyword-highlighting"">FLATTEN</span> causes a cross product of tuples.  Refer to example 2 for more details.","Given a relation with rows containing a student ID and their corresponding list of courses taken and marks obtained, generate a relation where each row is a list of student ID, course and mark. Store the output relation as {(student id, course id 1, mark1), (student id, course id 2, mark2),..., (student id, course id n, markn)}","Result = FOREACH A GENERATE $0, FLATTEN($1);","A = LOAD '$input' USING PigStorage(';') AS (studentId: chararray, courseAndMarkInfo:bag{tuple(courseId: chararray, mark: int)});",,1
6,9,Inner Join,"<span class=""keyword-highlighting"">JOIN</span> performs an inner join of two or more relations based on common field values. <span class=""alert-settings"">Note</span>: For all practical purposes an inner join can be thought of as an intersection of multiple relations.","Given a relation containing the course ID and course name, and another relation containing the student ID, mark and course ID. Write a script to generate a relation with the student ID, course ID, course name and the corresponding mark. The resulting relation should only contain students with courses listed in the courses table and courses which were taken by atleast 1 student."," Result = JOIN coursesData BY courseId, marksData BY courseId;","coursesData = LOAD '$courses' USING PigStorage(',') AS (courseId:chararray, courseName:chararray); marksData = LOAD '$marks' USING PigStorage(',') AS (studentId:chararray, courseId:chararray, mark:int);",,1
6,10,Outer Join - Left,"Left outer join always contains all records of the ""left"" table even if the join-condition does not find any matching record in the ""right"" table.","Given a relation containing the course ID and course name, and another relation containing the student ID, mark and course ID. Write a script to generate a relation with the student ID, course ID, course name and the corresponding mark. The resulting relation should only contain students with courses listed in the courses table and all courses whether or not they were taken by a student.
"," Result = JOIN coursesData BY courseId LEFT OUTER, marksData BY courseId;","coursesData = LOAD '$courses' USING PigStorage(',') AS (courseId:chararray, courseName:chararray); marksData = LOAD '$marks' USING PigStorage(',') AS (studentId:chararray, courseId:chararray, mark:int);",,1
