exercise_id,output_dataset_id,alias,dataset
1,1,myFirstPigScript.txt,"(S1#John Doe)
(S2#Malcolm Doyle)
(S3#Peter Collins)
(S4#Mark Jones)"
2,2,Result,"(S1,253)
(S2,190)
(S3,210)
(S4,278)
(,192)"
3,3,Result,"(S2,63)
(S3,70)"
4,4,Result,"(S1,Fall-2012,240)
(S2,Fall-2012,225)
(S1,Spring-2013,232)
(S2,Fall-2013,184)"
5,5,Result,"(1,80.0)
(2,70.0)
(3,50.0)"
6,6,Result,"(Spring-2011,213,{(S1),(S3)})
(Fall-2012,123,{(S1),(S2),(S3)})
(Spring-2013,123,{(S2)})"
7,7,Result,"(S1,Fall-2012,90,80,70)
(S2,Fall-2012,75,80,70)
(S1,Spring-2013,80,92,60)
(S2,Fall-2013,69,58,57)"
8,8,Result,"(1,1,55)
(1,2,90)
(1,3,95)
(2,1,60)
(2,2,70)
(2,3,80)
(3,1,40)
(3,2,50)
(3,3,60)"
9,9,Result,"(APS 111,Engineering Communication,S2,APS 111,82)
(CSC 243,Introduction to Databases,S1,CSC 243,87)
(ECE 212,Circuit Analysis,S2,ECE 212,72)
(MAT 186, Linear Algebra,S1,MAT 186,90)"
10,10,Result,"(APS 111,Engineering Communication,S2,APS 111,82)
(CSC 107,Programming Fundamentals,,,)
(CSC 243,Introduction to Databases,S1,CSC 243,87)
(ECE 212,Circuit Analysis,S2,ECE 212,72)
(MAT 186, Linear Algebra,S1,MAT 186,90)
(MAT 196,Calculus I,,,)"
11,11,Result,"(APS 111,Engineering Communication,S2,APS 111,82)
(,,S1,APS 252,77)
(CSC 243,Introduction to Databases,S1,CSC 243,87)
(ECE 212,Circuit Analysis,S2,ECE 212,72)
(MAT 186, Linear Algebra,S1,MAT 186,90)
(,,S3,PSY 101,71)"
12,12,Result,"(APS 111,Engineering Communication,S2,APS 111,82)
(,,S1,APS 252,77)
(CSC 107,Programming Fundamentals,,,)
(CSC 243,Introduction to Databases,S1,CSC 243,87)
(ECE 212,Circuit Analysis,S2,ECE 212,72)
(MAT 186, Linear Algebra,S1,MAT 186,90)
(MAT 196,Calculus I,,,)
(,,S3,PSY 101,71)"
13,13,Result,"(APS 105,{(S1,APS 105,72)})
(CSC 103,{(S1,CSC 103,92),(S2,CSC 103,92),(S3,CSC 103,68)})
(ECE 445,{(S2,ECE 445,67)})
(HPS 162,{(S1,HPS 162,78),(S3,HPS 162,78)})
(PSY 101,{(S3,PSY 101,70),(S2,PSY 101,80)})"
14,14,Result,"(APS 105,72.0)
(CSC 103,84.0)
(ECE 445,67.0)
(HPS 162,78.0)
(PSY 101,75.0)"
15,15,Result,"(74,{(S4,71,62,90),(S5,57,85,81)})
(76,{(S1,72,90,67),(S2,82,71,76),(S3,96,54,79)})
(83,{(S6,94,68,89)})"
16,16,Result,"((APS 105,72),{(S1,APS 105,72)})
((CSC 103,68),{(S3,CSC 103,68)})
((CSC 103,92),{(S1,CSC 103,92),(S2,CSC 103,92)})
((ECE 445,67),{(S2,ECE 445,67)})
((HPS 162,78),{(S1,HPS 162,78),(S3,HPS 162,78)})
((PSY 101,70),{(S3,PSY 101,70)})
((PSY 101,80),{(S2,PSY 101,80)})"
17,17,Result,"(APS 105,{(S1)})
(CSC 103,{(S1),(S2)})
(ECE 445,{})
(HPS 162,{(S1),(S3)})
(PSY 101,{(S2)})"
18,18,Result,"(Scott,70.0)
(Mark,80.0)"
19,19,Result,"(S1,APS 105,72)
(S1,CSC 103,92)
(S1,HPS 162,78)
(S2,CSC 103,92)
(S2,ECE 445,67)
(S2,PSY 101,80)
(S3,CSC 103,68)
(S3,HPS 162,78)
(S3,PSY 101,70)"
20,20,Result,"(S1,APS 105,72)
(S1,CSC 103,92)
(S1,HPS 162,78)
(S2,CSC 103,92)
(S2,ECE 445,67)
(S2,PSY 101,80)
(S3,CSC 103,68)
(S3,HPS 162,78)
(S3,PSY 101,70)"
21,21,Result,"(S1,CSC 103,92)
(S2,CSC 103,92)
(S2,PSY 101,80)"
22,22,Result,"(S1,78)
(S1,92)
(S2,67)
(S2,72)
(S2,80)
(S3,68)
(S3,70)
(S3,78)"
23,23,Result,"(S1,92)
(S1,78)
(S2,67)
(S2,72)
(S2,80)
(S3,68)
(S3,70)
(S3,78)"
24,24,belowAvg,"(S1,32)
(S1,49)
(S2,47)
(S3,50)"
24,25,Avg,"(S2,70)
(S3,60)"
24,26,aboveAvg,"(S2,83)
(S3,78)"
